batsman,bowler,economy_rate
"Devon Conway","Wayne Parnell",3.3
"Ajinkya Rahane","Wayne Parnell",3.3
"Ambati Rayudu","Wayne Parnell",3.3
"Moeen Ali","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"Moeen Ali","Wayne Parnell",3.3
"Ambati Rayudu","Wayne Parnell",3.3
"Ravindra Jadeja","Wayne Parnell",3.3
"Ravindra Jadeja","Wayne Parnell",3.3
"MS Dhoni","Wayne Parnell",3.3
"MS Dhoni","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Devon Conway","Wayne Parnell",3.3
"Ajinkya Rahane","Wayne Parnell",3.3
"Ambati Rayudu","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"MS Dhoni","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Devon Conway","Wayne Parnell",3.3
"Ajinkya Rahane","Wayne Parnell",3.3
"Ambati Rayudu","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"Moeen Ali","Wayne Parnell",3.3
"Ravindra Jadeja","Wayne Parnell",3.3
"MS Dhoni","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Devon Conway","Wayne Parnell",3.3
"Ajinkya Rahane","Wayne Parnell",3.3
"Moeen Ali","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"Ambati Rayudu","Wayne Parnell",3.3
"Ravindra Jadeja","Wayne Parnell",3.3
"MS Dhoni","Wayne Parnell",3.3
"Deepak Chahar","Wayne Parnell",3.3
"Tushar Deshpande","Wayne Parnell",3.3
"Ruturaj Gaikwad","Wayne Parnell",3.3
"Devon Conway","Wayne Parnell",3.3
"Shivam Dube","Wayne Parnell",3.3
"MS Dhoni","Wayne Parnell",3.3
"Ravindra Jadeja","Wayne Parnell",3.3
"Devon Conway","Nitish Rana",3
"Devon Conway","Glenn Maxwell",3
"Devon Conway","Sikandar Raza",3
"Devon Conway","Mukesh Kumar",3
"Devon Conway","Glenn Maxwell",3
"Shivam Dube","Nitish Rana",3
"Shivam Dube","Glenn Maxwell",3
"Shivam Dube","Sikandar Raza",3
"Shivam Dube","Mukesh Kumar",3
"Shivam Dube","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Moeen Ali","Nitish Rana",3
"Moeen Ali","Glenn Maxwell",3
"Moeen Ali","Sikandar Raza",3
"Moeen Ali","Mukesh Kumar",3
"Moeen Ali","Glenn Maxwell",3
"Moeen Ali","Nitish Rana",3
"Moeen Ali","Glenn Maxwell",3
"Moeen Ali","Sikandar Raza",3
"Moeen Ali","Mukesh Kumar",3
"Moeen Ali","Glenn Maxwell",3
"Ben Stokes","Nitish Rana",3
"Ben Stokes","Glenn Maxwell",3
"Ben Stokes","Sikandar Raza",3
"Ben Stokes","Mukesh Kumar",3
"Ben Stokes","Glenn Maxwell",3
"Ben Stokes","Nitish Rana",3
"Ben Stokes","Glenn Maxwell",3
"Ben Stokes","Sikandar Raza",3
"Ben Stokes","Mukesh Kumar",3
"Ben Stokes","Glenn Maxwell",3
"Ambati Rayudu","Nitish Rana",3
"Ambati Rayudu","Glenn Maxwell",3
"Ambati Rayudu","Sikandar Raza",3
"Ambati Rayudu","Mukesh Kumar",3
"Ambati Rayudu","Glenn Maxwell",3
"Ambati Rayudu","Nitish Rana",3
"Ambati Rayudu","Glenn Maxwell",3
"Ambati Rayudu","Sikandar Raza",3
"Ambati Rayudu","Mukesh Kumar",3
"Ambati Rayudu","Glenn Maxwell",3
"Ravindra Jadeja","Nitish Rana",3
"Ravindra Jadeja","Glenn Maxwell",3
"Ravindra Jadeja","Sikandar Raza",3
"Ravindra Jadeja","Mukesh Kumar",3
"Ravindra Jadeja","Glenn Maxwell",3
"MS Dhoni","Nitish Rana",3
"MS Dhoni","Glenn Maxwell",3
"MS Dhoni","Sikandar Raza",3
"MS Dhoni","Mukesh Kumar",3
"MS Dhoni","Glenn Maxwell",3
"Shivam Dube","Nitish Rana",3
"Shivam Dube","Glenn Maxwell",3
"Shivam Dube","Sikandar Raza",3
"Shivam Dube","Mukesh Kumar",3
"Shivam Dube","Glenn Maxwell",3
"Ravindra Jadeja","Nitish Rana",3
"Ravindra Jadeja","Glenn Maxwell",3
"Ravindra Jadeja","Sikandar Raza",3
"Ravindra Jadeja","Mukesh Kumar",3
"Ravindra Jadeja","Glenn Maxwell",3
"Mitchell Santner","Nitish Rana",3
"Mitchell Santner","Glenn Maxwell",3
"Mitchell Santner","Sikandar Raza",3
"Mitchell Santner","Mukesh Kumar",3
"Mitchell Santner","Glenn Maxwell",3
"MS Dhoni","Nitish Rana",3
"MS Dhoni","Glenn Maxwell",3
"MS Dhoni","Sikandar Raza",3
"MS Dhoni","Mukesh Kumar",3
"MS Dhoni","Glenn Maxwell",3
"Mitchell Santner","Nitish Rana",3
"Mitchell Santner","Glenn Maxwell",3
"Mitchell Santner","Sikandar Raza",3
"Mitchell Santner","Mukesh Kumar",3
"Mitchell Santner","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Devon Conway","Nitish Rana",3
"Devon Conway","Glenn Maxwell",3
"Devon Conway","Sikandar Raza",3
"Devon Conway","Mukesh Kumar",3
"Devon Conway","Glenn Maxwell",3
"Ajinkya Rahane","Nitish Rana",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ajinkya Rahane","Sikandar Raza",3
"Ajinkya Rahane","Mukesh Kumar",3
"Ajinkya Rahane","Glenn Maxwell",3
"Shivam Dube","Nitish Rana",3
"Shivam Dube","Glenn Maxwell",3
"Shivam Dube","Sikandar Raza",3
"Shivam Dube","Mukesh Kumar",3
"Shivam Dube","Glenn Maxwell",3
"Moeen Ali","Nitish Rana",3
"Moeen Ali","Glenn Maxwell",3
"Moeen Ali","Sikandar Raza",3
"Moeen Ali","Mukesh Kumar",3
"Moeen Ali","Glenn Maxwell",3
"Ambati Rayudu","Nitish Rana",3
"Ambati Rayudu","Glenn Maxwell",3
"Ambati Rayudu","Sikandar Raza",3
"Ambati Rayudu","Mukesh Kumar",3
"Ambati Rayudu","Glenn Maxwell",3
"Ravindra Jadeja","Nitish Rana",3
"Ravindra Jadeja","Glenn Maxwell",3
"Ravindra Jadeja","Sikandar Raza",3
"Ravindra Jadeja","Mukesh Kumar",3
"Ravindra Jadeja","Glenn Maxwell",3
"MS Dhoni","Nitish Rana",3
"MS Dhoni","Glenn Maxwell",3
"MS Dhoni","Sikandar Raza",3
"MS Dhoni","Mukesh Kumar",3
"MS Dhoni","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ajinkya Rahane","Nitish Rana",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ajinkya Rahane","Sikandar Raza",3
"Ajinkya Rahane","Mukesh Kumar",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ambati Rayudu","Nitish Rana",3
"Ambati Rayudu","Glenn Maxwell",3
"Ambati Rayudu","Sikandar Raza",3
"Ambati Rayudu","Mukesh Kumar",3
"Ambati Rayudu","Glenn Maxwell",3
"Moeen Ali","Nitish Rana",3
"Moeen Ali","Glenn Maxwell",3
"Moeen Ali","Sikandar Raza",3
"Moeen Ali","Mukesh Kumar",3
"Moeen Ali","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Devon Conway","Nitish Rana",3
"Devon Conway","Glenn Maxwell",3
"Devon Conway","Sikandar Raza",3
"Devon Conway","Mukesh Kumar",3
"Devon Conway","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Devon Conway","Nitish Rana",3
"Devon Conway","Glenn Maxwell",3
"Devon Conway","Sikandar Raza",3
"Devon Conway","Mukesh Kumar",3
"Devon Conway","Glenn Maxwell",3
"Ajinkya Rahane","Nitish Rana",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ajinkya Rahane","Sikandar Raza",3
"Ajinkya Rahane","Mukesh Kumar",3
"Ajinkya Rahane","Glenn Maxwell",3
"Shivam Dube","Nitish Rana",3
"Shivam Dube","Glenn Maxwell",3
"Shivam Dube","Sikandar Raza",3
"Shivam Dube","Mukesh Kumar",3
"Shivam Dube","Glenn Maxwell",3
"Ambati Rayudu","Nitish Rana",3
"Ambati Rayudu","Glenn Maxwell",3
"Ambati Rayudu","Sikandar Raza",3
"Ambati Rayudu","Mukesh Kumar",3
"Ambati Rayudu","Glenn Maxwell",3
"Moeen Ali","Nitish Rana",3
"Moeen Ali","Glenn Maxwell",3
"Moeen Ali","Sikandar Raza",3
"Moeen Ali","Mukesh Kumar",3
"Moeen Ali","Glenn Maxwell",3
"Ravindra Jadeja","Nitish Rana",3
"Ravindra Jadeja","Glenn Maxwell",3
"Ravindra Jadeja","Sikandar Raza",3
"Ravindra Jadeja","Mukesh Kumar",3
"Ravindra Jadeja","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Devon Conway","Nitish Rana",3
"Devon Conway","Glenn Maxwell",3
"Devon Conway","Sikandar Raza",3
"Devon Conway","Mukesh Kumar",3
"Devon Conway","Glenn Maxwell",3
"Ajinkya Rahane","Nitish Rana",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ajinkya Rahane","Sikandar Raza",3
"Ajinkya Rahane","Mukesh Kumar",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Shivam Dube","Nitish Rana",3
"Shivam Dube","Glenn Maxwell",3
"Shivam Dube","Sikandar Raza",3
"Shivam Dube","Mukesh Kumar",3
"Shivam Dube","Glenn Maxwell",3
"Devon Conway","Nitish Rana",3
"Devon Conway","Glenn Maxwell",3
"Devon Conway","Sikandar Raza",3
"Devon Conway","Mukesh Kumar",3
"Devon Conway","Glenn Maxwell",3
"Ravindra Jadeja","Nitish Rana",3
"Ravindra Jadeja","Glenn Maxwell",3
"Ravindra Jadeja","Sikandar Raza",3
"Ravindra Jadeja","Mukesh Kumar",3
"Ravindra Jadeja","Glenn Maxwell",3
"Devon Conway","Nitish Rana",3
"Devon Conway","Glenn Maxwell",3
"Devon Conway","Sikandar Raza",3
"Devon Conway","Mukesh Kumar",3
"Devon Conway","Glenn Maxwell",3
"Ajinkya Rahane","Nitish Rana",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ajinkya Rahane","Sikandar Raza",3
"Ajinkya Rahane","Mukesh Kumar",3
"Ajinkya Rahane","Glenn Maxwell",3
"MS Dhoni","Nitish Rana",3
"MS Dhoni","Glenn Maxwell",3
"MS Dhoni","Sikandar Raza",3
"MS Dhoni","Mukesh Kumar",3
"MS Dhoni","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Shivam Dube","Nitish Rana",3
"Shivam Dube","Glenn Maxwell",3
"Shivam Dube","Sikandar Raza",3
"Shivam Dube","Mukesh Kumar",3
"Shivam Dube","Glenn Maxwell",3
"Shivam Dube","Nitish Rana",3
"Shivam Dube","Glenn Maxwell",3
"Shivam Dube","Sikandar Raza",3
"Shivam Dube","Mukesh Kumar",3
"Shivam Dube","Glenn Maxwell",3
"Devon Conway","Nitish Rana",3
"Devon Conway","Glenn Maxwell",3
"Devon Conway","Sikandar Raza",3
"Devon Conway","Mukesh Kumar",3
"Devon Conway","Glenn Maxwell",3
"Ajinkya Rahane","Nitish Rana",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ajinkya Rahane","Sikandar Raza",3
"Ajinkya Rahane","Mukesh Kumar",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ambati Rayudu","Nitish Rana",3
"Ambati Rayudu","Glenn Maxwell",3
"Ambati Rayudu","Sikandar Raza",3
"Ambati Rayudu","Mukesh Kumar",3
"Ambati Rayudu","Glenn Maxwell",3
"Moeen Ali","Nitish Rana",3
"Moeen Ali","Glenn Maxwell",3
"Moeen Ali","Sikandar Raza",3
"Moeen Ali","Mukesh Kumar",3
"Moeen Ali","Glenn Maxwell",3
"Shivam Dube","Nitish Rana",3
"Shivam Dube","Glenn Maxwell",3
"Shivam Dube","Sikandar Raza",3
"Shivam Dube","Mukesh Kumar",3
"Shivam Dube","Glenn Maxwell",3
"Moeen Ali","Nitish Rana",3
"Moeen Ali","Glenn Maxwell",3
"Moeen Ali","Sikandar Raza",3
"Moeen Ali","Mukesh Kumar",3
"Moeen Ali","Glenn Maxwell",3
"Ambati Rayudu","Nitish Rana",3
"Ambati Rayudu","Glenn Maxwell",3
"Ambati Rayudu","Sikandar Raza",3
"Ambati Rayudu","Mukesh Kumar",3
"Ambati Rayudu","Glenn Maxwell",3
"Ravindra Jadeja","Nitish Rana",3
"Ravindra Jadeja","Glenn Maxwell",3
"Ravindra Jadeja","Sikandar Raza",3
"Ravindra Jadeja","Mukesh Kumar",3
"Ravindra Jadeja","Glenn Maxwell",3
"Ravindra Jadeja","Nitish Rana",3
"Ravindra Jadeja","Glenn Maxwell",3
"Ravindra Jadeja","Sikandar Raza",3
"Ravindra Jadeja","Mukesh Kumar",3
"Ravindra Jadeja","Glenn Maxwell",3
"MS Dhoni","Nitish Rana",3
"MS Dhoni","Glenn Maxwell",3
"MS Dhoni","Sikandar Raza",3
"MS Dhoni","Mukesh Kumar",3
"MS Dhoni","Glenn Maxwell",3
"MS Dhoni","Nitish Rana",3
"MS Dhoni","Glenn Maxwell",3
"MS Dhoni","Sikandar Raza",3
"MS Dhoni","Mukesh Kumar",3
"MS Dhoni","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Devon Conway","Nitish Rana",3
"Devon Conway","Glenn Maxwell",3
"Devon Conway","Sikandar Raza",3
"Devon Conway","Mukesh Kumar",3
"Devon Conway","Glenn Maxwell",3
"Ajinkya Rahane","Nitish Rana",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ajinkya Rahane","Sikandar Raza",3
"Ajinkya Rahane","Mukesh Kumar",3
"Ajinkya Rahane","Glenn Maxwell",3
"Ambati Rayudu","Nitish Rana",3
"Ambati Rayudu","Glenn Maxwell",3
"Ambati Rayudu","Sikandar Raza",3
"Ambati Rayudu","Mukesh Kumar",3
"Ambati Rayudu","Glenn Maxwell",3
"Shivam Dube","Nitish Rana",3
"Shivam Dube","Glenn Maxwell",3
"Shivam Dube","Sikandar Raza",3
"Shivam Dube","Mukesh Kumar",3
"Shivam Dube","Glenn Maxwell",3
"MS Dhoni","Nitish Rana",3
"MS Dhoni","Glenn Maxwell",3
"MS Dhoni","Sikandar Raza",3
"MS Dhoni","Mukesh Kumar",3
"MS Dhoni","Glenn Maxwell",3
"Ruturaj Gaikwad","Nitish Rana",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Ruturaj Gaikwad","Sikandar Raza",3
"Ruturaj Gaikwad","Mukesh Kumar",3
"Ruturaj Gaikwad","Glenn Maxwell",3
"Devon Conway","Nitish Rana",3
"Devon Conway","Glenn Maxwell",3
"Devon Conway","Sikandar Raza",3
"Devon Conway","Mukesh Kumar",3
"Devon Conway","Glenn Maxwell",3
"Ajinkya Rahane","Nitish Rana",3
