batsman,bowler,economy_rate
"MS Dhoni","Mayank Markande",3.8
"Ruturaj Gaikwad","Sunil Narine",3.8
"Ruturaj Gaikwad","Kuldeep Yadav",3.8
"Ruturaj Gaikwad","Mayank Markande",3.8
"Devon Conway","Sunil Narine",3.8
"Devon Conway","Kuldeep Yadav",3.8
"Devon Conway","Mayank Markande",3.8
"Ajinkya Rahane","Sunil Narine",3.8
"Ajinkya Rahane","Kuldeep Yadav",3.8
"Ajinkya Rahane","Mayank Markande",3.8
"Ambati Rayudu","Sunil Narine",3.8
"Ambati Rayudu","Kuldeep Yadav",3.8
"Ambati Rayudu","Mayank Markande",3.8
"Shivam Dube","Sunil Narine",3.8
"Shivam Dube","Kuldeep Yadav",3.8
"Shivam Dube","Mayank Markande",3.8
"MS Dhoni","Sunil Narine",3.8
"MS Dhoni","Kuldeep Yadav",3.8
"MS Dhoni","Mayank Markande",3.8
"Ruturaj Gaikwad","Sunil Narine",3.8
"Ruturaj Gaikwad","Kuldeep Yadav",3.8
"Ruturaj Gaikwad","Mayank Markande",3.8
"Devon Conway","Sunil Narine",3.8
"Devon Conway","Kuldeep Yadav",3.8
"Devon Conway","Mayank Markande",3.8
"Ajinkya Rahane","Sunil Narine",3.8
"Ajinkya Rahane","Kuldeep Yadav",3.8
"Ajinkya Rahane","Mayank Markande",3.8
"Ambati Rayudu","Sunil Narine",3.8
"Ambati Rayudu","Kuldeep Yadav",3.8
"Ambati Rayudu","Mayank Markande",3.8
"Shivam Dube","Sunil Narine",3.8
"Shivam Dube","Kuldeep Yadav",3.8
"Shivam Dube","Mayank Markande",3.8
"Moeen Ali","Sunil Narine",3.8
"Moeen Ali","Kuldeep Yadav",3.8
"Moeen Ali","Mayank Markande",3.8
"Ravindra Jadeja","Sunil Narine",3.8
"Ravindra Jadeja","Kuldeep Yadav",3.8
"Ravindra Jadeja","Mayank Markande",3.8
"MS Dhoni","Sunil Narine",3.8
"MS Dhoni","Kuldeep Yadav",3.8
"MS Dhoni","Mayank Markande",3.8
"Ruturaj Gaikwad","Sunil Narine",3.8
"Ruturaj Gaikwad","Kuldeep Yadav",3.8
"Ruturaj Gaikwad","Mayank Markande",3.8
"Devon Conway","Sunil Narine",3.8
"Devon Conway","Kuldeep Yadav",3.8
"Devon Conway","Mayank Markande",3.8
"Ajinkya Rahane","Sunil Narine",3.8
"Ajinkya Rahane","Kuldeep Yadav",3.8
"Ajinkya Rahane","Mayank Markande",3.8
"Moeen Ali","Sunil Narine",3.8
"Moeen Ali","Kuldeep Yadav",3.8
"Moeen Ali","Mayank Markande",3.8
"Shivam Dube","Sunil Narine",3.8
"Shivam Dube","Kuldeep Yadav",3.8
"Shivam Dube","Mayank Markande",3.8
"Ambati Rayudu","Sunil Narine",3.8
"Ambati Rayudu","Kuldeep Yadav",3.8
"Ambati Rayudu","Mayank Markande",3.8
"Ravindra Jadeja","Sunil Narine",3.8
"Ravindra Jadeja","Kuldeep Yadav",3.8
"Ravindra Jadeja","Mayank Markande",3.8
"MS Dhoni","Sunil Narine",3.8
"MS Dhoni","Kuldeep Yadav",3.8
"MS Dhoni","Mayank Markande",3.8
"Deepak Chahar","Sunil Narine",3.8
"Deepak Chahar","Kuldeep Yadav",3.8
"Deepak Chahar","Mayank Markande",3.8
"Tushar Deshpande","Sunil Narine",3.8
"Tushar Deshpande","Kuldeep Yadav",3.8
"Tushar Deshpande","Mayank Markande",3.8
"Ruturaj Gaikwad","Sunil Narine",3.8
"Ruturaj Gaikwad","Kuldeep Yadav",3.8
"Ruturaj Gaikwad","Mayank Markande",3.8
"Devon Conway","Sunil Narine",3.8
"Devon Conway","Kuldeep Yadav",3.8
"Devon Conway","Mayank Markande",3.8
"Shivam Dube","Sunil Narine",3.8
"Shivam Dube","Kuldeep Yadav",3.8
"Shivam Dube","Mayank Markande",3.8
"MS Dhoni","Sunil Narine",3.8
"MS Dhoni","Kuldeep Yadav",3.8
"MS Dhoni","Mayank Markande",3.8
"Ravindra Jadeja","Sunil Narine",3.8
"Ravindra Jadeja","Kuldeep Yadav",3.8
"Ravindra Jadeja","Mayank Markande",3.8
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Moeen Ali","Rashid Khan",3.5
"Moeen Ali","Mohit Sharma",3.5
"Moeen Ali","Mark Wood",3.5
"Moeen Ali","Rashid Khan",3.5
"Moeen Ali","Mohit Sharma",3.5
"Moeen Ali","Mark Wood",3.5
"Ben Stokes","Rashid Khan",3.5
"Ben Stokes","Mohit Sharma",3.5
"Ben Stokes","Mark Wood",3.5
"Ben Stokes","Rashid Khan",3.5
"Ben Stokes","Mohit Sharma",3.5
"Ben Stokes","Mark Wood",3.5
"Ambati Rayudu","Rashid Khan",3.5
"Ambati Rayudu","Mohit Sharma",3.5
"Ambati Rayudu","Mark Wood",3.5
"Ambati Rayudu","Rashid Khan",3.5
"Ambati Rayudu","Mohit Sharma",3.5
"Ambati Rayudu","Mark Wood",3.5
"Ravindra Jadeja","Rashid Khan",3.5
"Ravindra Jadeja","Mohit Sharma",3.5
"Ravindra Jadeja","Mark Wood",3.5
"MS Dhoni","Rashid Khan",3.5
"MS Dhoni","Mohit Sharma",3.5
"MS Dhoni","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"Ravindra Jadeja","Rashid Khan",3.5
"Ravindra Jadeja","Mohit Sharma",3.5
"Ravindra Jadeja","Mark Wood",3.5
"Mitchell Santner","Rashid Khan",3.5
"Mitchell Santner","Mohit Sharma",3.5
"Mitchell Santner","Mark Wood",3.5
"MS Dhoni","Rashid Khan",3.5
"MS Dhoni","Mohit Sharma",3.5
"MS Dhoni","Mark Wood",3.5
"Mitchell Santner","Rashid Khan",3.5
"Mitchell Santner","Mohit Sharma",3.5
"Mitchell Santner","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Ajinkya Rahane","Rashid Khan",3.5
"Ajinkya Rahane","Mohit Sharma",3.5
"Ajinkya Rahane","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"Moeen Ali","Rashid Khan",3.5
"Moeen Ali","Mohit Sharma",3.5
"Moeen Ali","Mark Wood",3.5
"Ambati Rayudu","Rashid Khan",3.5
"Ambati Rayudu","Mohit Sharma",3.5
"Ambati Rayudu","Mark Wood",3.5
"Ravindra Jadeja","Rashid Khan",3.5
"Ravindra Jadeja","Mohit Sharma",3.5
"Ravindra Jadeja","Mark Wood",3.5
"MS Dhoni","Rashid Khan",3.5
"MS Dhoni","Mohit Sharma",3.5
"MS Dhoni","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Ajinkya Rahane","Rashid Khan",3.5
"Ajinkya Rahane","Mohit Sharma",3.5
"Ajinkya Rahane","Mark Wood",3.5
"Ambati Rayudu","Rashid Khan",3.5
"Ambati Rayudu","Mohit Sharma",3.5
"Ambati Rayudu","Mark Wood",3.5
"Moeen Ali","Rashid Khan",3.5
"Moeen Ali","Mohit Sharma",3.5
"Moeen Ali","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Ajinkya Rahane","Rashid Khan",3.5
"Ajinkya Rahane","Mohit Sharma",3.5
"Ajinkya Rahane","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"Ambati Rayudu","Rashid Khan",3.5
"Ambati Rayudu","Mohit Sharma",3.5
"Ambati Rayudu","Mark Wood",3.5
"Moeen Ali","Rashid Khan",3.5
"Moeen Ali","Mohit Sharma",3.5
"Moeen Ali","Mark Wood",3.5
"Ravindra Jadeja","Rashid Khan",3.5
"Ravindra Jadeja","Mohit Sharma",3.5
"Ravindra Jadeja","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Ajinkya Rahane","Rashid Khan",3.5
"Ajinkya Rahane","Mohit Sharma",3.5
"Ajinkya Rahane","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Ravindra Jadeja","Rashid Khan",3.5
"Ravindra Jadeja","Mohit Sharma",3.5
"Ravindra Jadeja","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Ajinkya Rahane","Rashid Khan",3.5
"Ajinkya Rahane","Mohit Sharma",3.5
"Ajinkya Rahane","Mark Wood",3.5
"MS Dhoni","Rashid Khan",3.5
"MS Dhoni","Mohit Sharma",3.5
"MS Dhoni","Mark Wood",3.5
"Ruturaj Gaikwad","Rashid Khan",3.5
"Ruturaj Gaikwad","Mohit Sharma",3.5
"Ruturaj Gaikwad","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"Shivam Dube","Rashid Khan",3.5
"Shivam Dube","Mohit Sharma",3.5
"Shivam Dube","Mark Wood",3.5
"Devon Conway","Rashid Khan",3.5
"Devon Conway","Mohit Sharma",3.5
"Devon Conway","Mark Wood",3.5
"Ajinkya Rahane","Rashid Khan",3.5
"Ajinkya Rahane","Mohit Sharma",3.5
"Ajinkya Rahane","Mark Wood",3.5
