match_no,batsman,run
7,"Axar Patel",36
18,"Matthew Short",36
19,"N Jagadeesan",36
8,"Shimron Hetmyer",36
38,"Sikandar Raza",36
25,"Heinrich Klaasen",36
47,"Heinrich Klaasen",36
48,"Shubman Gill",36
58,"Anmolpreet Singh",36
2,"Andre Russell",35
29,"Ruturaj Gaikwad",35
10,"Rahul Tripathi",35
10,"KL Rahul",35
33,"Ruturaj Gaikwad",35
50,"Rilee Rossouw",35
52,"Yashasvi Jaiswal",35
60,"Shimron Hetmyer",35
55,"Rilee Rossouw",35
2,"Venkatesh Iyer",34
29,"Abhishek Sharma",34
10,"Krunal Pandya",34
36,"Mahipal Lomror",34
37,"Dhruv Jurel",34
21,"Matthew Short",34
39,"Andre Russell",34
32,"Dhruv Jurel",34
34,"Manish Pandey",34
34,"Axar Patel",34
35,"Cameron Green",33
52,"Anmolpreet Singh",33
6,"Nicholas Pooran",32
17,"MS Dhoni",32
19,"Abhishek Sharma",32
8,"Dhruv Jurel",32
4,"Abdul Samad",32
39,"David Miller",32
12,"Ishan Kishan",32
63,"Tim David",32
17,"Ajinkya Rahane",31
7,"David Miller",31
10,"Anmolpreet Singh",31
36,"Venkatesh Iyer",31
12,"Tim David",31
43,"Virat Kohli",31
34,"Heinrich Klaasen",31
16,"Ishan Kishan",31
57,"Ishan Kishan",31
17,"Ravichandran Ashwin",30
17,"Shimron Hetmyer",30
3,"Rilee Rossouw",30
18,"Wriddhiman Saha",30
22,"Tilak Varma",30
48,"Sanju Samson",30
15,"Ayush Badoni",30
49,"Ruturaj Gaikwad",30
46,"Shikhar Dhawan",30
61,"Devon Conway",30
57,"Vishnu Vinod",30
26,"Nicholas Pooran",29
7,"Vijay Shankar",29
21,"Kyle Mayers",29
31,"Atharva Taide",29
40,"Axar Patel",29
41,"Sam Curran",29
42,"Tilak Varma",29
58,"Quinton de Kock",29
60,"Anuj Rawat",29
57,"Rohit Sharma",29
57,"Vijay Shankar",29
23,"Hardik Pandya",28
40,"Abdul Samad",28
41,"Shivam Dube",28
12,"Shivam Dube",28
41,"Shikhar Dhawan",28
42,"Ishan Kishan",28
24,"Dinesh Karthik",28
25,"Rohit Sharma",28
58,"Aiden Markram",28
70,"Faf du Plessis",28
68,"Quinton de Kock",28
6,"Shivam Dube",27
6,"Ambati Rayudu",27
1,"Vijay Shankar",27
8,"Jitesh Sharma",27
4,"Mayank Agarwal",27
36,"N Jagadeesan",27
37,"Jos Buttler",27
37,"Devdutt Padikkal",27
23,"Abhinav Manohar",27
33,"Nitish Rana",27
44,"Axar Patel",27
46,"Matthew Short",27
62,"Bhuvneshwar Kumar",27
55,"Manish Pandey",27
65,"Harry Brook",27
16,"Manish Pandey",26
2,"Sam Curran",26
26,"Devdutt Padikkal",26
20,"Mahipal Lomror",26
31,"Prabhsimran Singh",26
39,"Hardik Pandya",26
23,"Devdutt Padikkal",26
44,"Abhinav Manohar",26
49,"Suryakumar Yadav",26
49,"Shivam Dube",26
50,"Mitchell Marsh",26
46,"Tilak Varma",26
52,"Heinrich Klaasen",26
70,"Michael Bracewell",26
64,"Philip Salt",26
68,"Prerak Mankad",26
